#    L    TT             EE             BB             TE          
     2   0.124641E+04   0.308800E-01   0.182408E-05   0.318037E+01
     3   0.119741E+04   0.396892E-01   0.364864E-05   0.351258E+01
     4   0.114401E+04   0.344974E-01   0.608212E-05   0.327314E+01
     5   0.110206E+04   0.230964E-01   0.912516E-05   0.278168E+01
     6   0.107200E+04   0.129532E-01   0.127785E-04   0.224194E+01
     7   0.105157E+04   0.700132E-02   0.170432E-04   0.176519E+01
     8   0.103783E+04   0.450189E-02   0.219201E-04   0.139897E+01
     9   0.102949E+04   0.360356E-02   0.274105E-04   0.114845E+01
    10   0.102501E+04   0.307502E-02   0.335157E-04   0.100414E+01
    11   0.102303E+04   0.259629E-02   0.402371E-04   0.946433E+00
    12   0.102462E+04   0.227857E-02   0.475761E-04   0.954100E+00
    13   0.102719E+04   0.219574E-02   0.555344E-04   0.100079E+01
    14   0.103071E+04   0.228735E-02   0.641137E-04   0.106333E+01
    15   0.103406E+04   0.247212E-02   0.733156E-04   0.113318E+01
    16   0.103966E+04   0.270010E-02   0.831418E-04   0.121087E+01
    17   0.104739E+04   0.310381E-02   0.935943E-04   0.129389E+01
    18   0.105560E+04   0.365373E-02   0.104675E-03   0.138064E+01
    19   0.106509E+04   0.433316E-02   0.116385E-03   0.147093E+01
    20   0.107428E+04   0.517625E-02   0.128727E-03   0.156256E+01
    21   0.108357E+04   0.614071E-02   0.141702E-03   0.165828E+01
    22   0.109326E+04   0.725023E-02   0.155313E-03   0.175950E+01
    23   0.110321E+04   0.850955E-02   0.169561E-03   0.186235E+01
    24   0.111353E+04   0.989045E-02   0.184447E-03   0.196218E+01
    25   0.112418E+04   0.114230E-01   0.199973E-03   0.205647E+01
    26   0.113498E+04   0.131086E-01   0.216141E-03   0.214479E+01
    27   0.114617E+04   0.149399E-01   0.232952E-03   0.222587E+01
    28   0.115758E+04   0.169356E-01   0.250407E-03   0.229959E+01
    29   0.116926E+04   0.191134E-01   0.268508E-03   0.236621E+01
    30   0.118110E+04   0.214969E-01   0.287255E-03   0.242524E+01
    31   0.119300E+04   0.240976E-01   0.306651E-03   0.247912E+01
    32   0.120523E+04   0.269096E-01   0.326694E-03   0.252969E+01
    33   0.121779E+04   0.299192E-01   0.347387E-03   0.257352E+01
    34   0.123053E+04   0.331274E-01   0.368730E-03   0.260753E+01
    35   0.124342E+04   0.365545E-01   0.390722E-03   0.263252E+01
    36   0.125639E+04   0.402292E-01   0.413366E-03   0.264882E+01
    37   0.126943E+04   0.441606E-01   0.436660E-03   0.265519E+01
    38   0.128284E+04   0.483553E-01   0.460604E-03   0.265206E+01
    39   0.129663E+04   0.527995E-01   0.485199E-03   0.263937E+01
    40   0.131055E+04   0.574798E-01   0.510445E-03   0.261670E+01
    41   0.132472E+04   0.623931E-01   0.536340E-03   0.258339E+01
    42   0.133890E+04   0.675562E-01   0.562886E-03   0.253853E+01
    43   0.135325E+04   0.729909E-01   0.590080E-03   0.248120E+01
    44   0.136760E+04   0.787039E-01   0.617923E-03   0.241135E+01
    45   0.138232E+04   0.847127E-01   0.646413E-03   0.232901E+01
    46   0.139733E+04   0.910319E-01   0.675551E-03   0.223241E+01
    47   0.141248E+04   0.976530E-01   0.705334E-03   0.212234E+01
    48   0.142772E+04   0.104569E+00   0.735763E-03   0.200293E+01
    49   0.144313E+04   0.111749E+00   0.766835E-03   0.187770E+01
    50   0.145894E+04   0.119157E+00   0.798551E-03   0.174340E+01
    51   0.147495E+04   0.126756E+00   0.830910E-03   0.159537E+01
    52   0.149137E+04   0.134634E+00   0.863909E-03   0.142902E+01
    53   0.150782E+04   0.142947E+00   0.897549E-03   0.124161E+01
    54   0.152423E+04   0.151693E+00   0.931828E-03   0.103837E+01
    55   0.154081E+04   0.160858E+00   0.966745E-03   0.824643E+00
    56   0.155778E+04   0.170302E+00   0.100230E-02   0.599431E+00
    57   0.157507E+04   0.179916E+00   0.103849E-02   0.362649E+00
    58   0.159270E+04   0.189702E+00   0.107532E-02   0.113207E+00
    59   0.161053E+04   0.199695E+00   0.111278E-02  -0.150004E+00
    60   0.162856E+04   0.209943E+00   0.115088E-02  -0.426664E+00
    61   0.164711E+04   0.220536E+00   0.118961E-02  -0.716224E+00
    62   0.166558E+04   0.231462E+00   0.122897E-02  -0.101962E+01
    63   0.168420E+04   0.242683E+00   0.126897E-02  -0.133779E+01
    64   0.170326E+04   0.254213E+00   0.130961E-02  -0.167190E+01
    65   0.172239E+04   0.266029E+00   0.135087E-02  -0.202250E+01
    66   0.174190E+04   0.278065E+00   0.139277E-02  -0.238771E+01
    67   0.176160E+04   0.290323E+00   0.143531E-02  -0.276493E+01
    68   0.178179E+04   0.302843E+00   0.147848E-02  -0.315266E+01
    69   0.180220E+04   0.315582E+00   0.152228E-02  -0.354934E+01
    70   0.182298E+04   0.328581E+00   0.156672E-02  -0.395683E+01
    71   0.184395E+04   0.341829E+00   0.161180E-02  -0.437763E+01
    72   0.186515E+04   0.355298E+00   0.165752E-02  -0.481297E+01
    73   0.188655E+04   0.368953E+00   0.170388E-02  -0.526325E+01
    74   0.190821E+04   0.382783E+00   0.175087E-02  -0.572738E+01
    75   0.193025E+04   0.396798E+00   0.179851E-02  -0.620367E+01
    76   0.195261E+04   0.410998E+00   0.184680E-02  -0.669133E+01
    77   0.197536E+04   0.425374E+00   0.189573E-02  -0.719016E+01
    78   0.199853E+04   0.439952E+00   0.194531E-02  -0.770158E+01
    79   0.202194E+04   0.454675E+00   0.199554E-02  -0.822182E+01
    80   0.204570E+04   0.469546E+00   0.204642E-02  -0.875231E+01
    81   0.206971E+04   0.484514E+00   0.209796E-02  -0.929357E+01
    82   0.209403E+04   0.499601E+00   0.215015E-02  -0.984476E+01
    83   0.211860E+04   0.514781E+00   0.220301E-02  -0.104056E+02
    84   0.214350E+04   0.530052E+00   0.225653E-02  -0.109744E+02
    85   0.216859E+04   0.545388E+00   0.231072E-02  -0.115523E+02
    86   0.219395E+04   0.560801E+00   0.236557E-02  -0.121384E+02
    87   0.221980E+04   0.576261E+00   0.242110E-02  -0.127319E+02
    88   0.224571E+04   0.591781E+00   0.247730E-02  -0.133326E+02
    89   0.227203E+04   0.607348E+00   0.253418E-02  -0.139421E+02
    90   0.229864E+04   0.622922E+00   0.259174E-02  -0.145574E+02
    91   0.232545E+04   0.638498E+00   0.264998E-02  -0.151791E+02
    92   0.235262E+04   0.654059E+00   0.270892E-02  -0.158065E+02
    93   0.238014E+04   0.669598E+00   0.276854E-02  -0.164397E+02
    94   0.240779E+04   0.685078E+00   0.282886E-02  -0.170771E+02
    95   0.243581E+04   0.700498E+00   0.288988E-02  -0.177196E+02
    96   0.246388E+04   0.715845E+00   0.295160E-02  -0.183664E+02
    97   0.249246E+04   0.731103E+00   0.301402E-02  -0.190168E+02
    98   0.252133E+04   0.746264E+00   0.307716E-02  -0.196686E+02
    99   0.255034E+04   0.761292E+00   0.314100E-02  -0.203249E+02
   100   0.257970E+04   0.776186E+00   0.320556E-02  -0.209810E+02
   101   0.260928E+04   0.791005E+00   0.327084E-02  -0.216402E+02
   102   0.263945E+04   0.805602E+00   0.333685E-02  -0.223001E+02
   103   0.266961E+04   0.820050E+00   0.340358E-02  -0.229615E+02
   104   0.270005E+04   0.834349E+00   0.347104E-02  -0.236215E+02
   105   0.273072E+04   0.848425E+00   0.353923E-02  -0.242815E+02
   106   0.276167E+04   0.862353E+00   0.360817E-02  -0.249410E+02
   107   0.279262E+04   0.875983E+00   0.367784E-02  -0.255983E+02
   108   0.282402E+04   0.889390E+00   0.374827E-02  -0.262543E+02
   109   0.285563E+04   0.902499E+00   0.381944E-02  -0.269075E+02
   110   0.288739E+04   0.915311E+00   0.389136E-02  -0.275565E+02
   111   0.291937E+04   0.927900E+00   0.396405E-02  -0.282027E+02
   112   0.295156E+04   0.940191E+00   0.403749E-02  -0.288454E+02
   113   0.298406E+04   0.952184E+00   0.411171E-02  -0.294830E+02
   114   0.301669E+04   0.963804E+00   0.418669E-02  -0.301147E+02
   115   0.304962E+04   0.975199E+00   0.426245E-02  -0.307405E+02
   116   0.308262E+04   0.986147E+00   0.433900E-02  -0.313596E+02
   117   0.311598E+04   0.996720E+00   0.441632E-02  -0.319711E+02
   118   0.314956E+04   0.100707E+01   0.449444E-02  -0.325758E+02
   119   0.318320E+04   0.101704E+01   0.457335E-02  -0.331715E+02
   120   0.321705E+04   0.102649E+01   0.465306E-02  -0.337579E+02
   121   0.325097E+04   0.103571E+01   0.473358E-02  -0.343351E+02
   122   0.328503E+04   0.104441E+01   0.481491E-02  -0.349023E+02
   123   0.331922E+04   0.105266E+01   0.489706E-02  -0.354595E+02
   124   0.335355E+04   0.106053E+01   0.498003E-02  -0.360035E+02
   125   0.338794E+04   0.106795E+01   0.506382E-02  -0.365366E+02
   126   0.342247E+04   0.107500E+01   0.514845E-02  -0.370581E+02
   127   0.345705E+04   0.108152E+01   0.523392E-02  -0.375670E+02
   128   0.349169E+04   0.108766E+01   0.532024E-02  -0.380626E+02
   129   0.352646E+04   0.109327E+01   0.540741E-02  -0.385441E+02
   130   0.356129E+04   0.109836E+01   0.549544E-02  -0.390107E+02
   131   0.359618E+04   0.110307E+01   0.558433E-02  -0.394639E+02
   132   0.363119E+04   0.110725E+01   0.567410E-02  -0.399006E+02
   133   0.366619E+04   0.111097E+01   0.576475E-02  -0.403232E+02
   134   0.370123E+04   0.111425E+01   0.585628E-02  -0.407271E+02
   135   0.373634E+04   0.111700E+01   0.594870E-02  -0.411153E+02
   136   0.377134E+04   0.111922E+01   0.604203E-02  -0.414841E+02
   137   0.380640E+04   0.112099E+01   0.613626E-02  -0.418358E+02
   138   0.384144E+04   0.112223E+01   0.623140E-02  -0.421689E+02
   139   0.387630E+04   0.112309E+01   0.632746E-02  -0.424825E+02
   140   0.391129E+04   0.112336E+01   0.642445E-02  -0.427776E+02
   141   0.394611E+04   0.112309E+01   0.652238E-02  -0.430518E+02
   142   0.398098E+04   0.112238E+01   0.662125E-02  -0.433059E+02
   143   0.401582E+04   0.112121E+01   0.672106E-02  -0.435399E+02
   144   0.405049E+04   0.111951E+01   0.682183E-02  -0.437531E+02
   145   0.408506E+04   0.111744E+01   0.692356E-02  -0.439447E+02
   146   0.411975E+04   0.111477E+01   0.702625E-02  -0.441148E+02
