#    L    TT             EE             BB             TE          
     2   0.124064E+05   0.371735E-01   0.149270E-01  -0.147621E+02
     3   0.118585E+05   0.467220E-01   0.146973E-01  -0.153272E+02
     4   0.116549E+05   0.408473E-01   0.123626E-01  -0.137976E+02
     5   0.115623E+05   0.280833E-01   0.934505E-02  -0.116000E+02
     6   0.115126E+05   0.167083E-01   0.662205E-02  -0.941899E+01
     7   0.114878E+05   0.100595E-01   0.465063E-02  -0.756827E+01
     8   0.114770E+05   0.744811E-02   0.350164E-02  -0.614348E+01
     9   0.114718E+05   0.688441E-02   0.304366E-02  -0.512900E+01
    10   0.114676E+05   0.695052E-02   0.308631E-02  -0.448370E+01
    11   0.114736E+05   0.719244E-02   0.344480E-02  -0.415115E+01
    12   0.114917E+05   0.767894E-02   0.398921E-02  -0.408010E+01
    13   0.114933E+05   0.841589E-02   0.463743E-02  -0.419822E+01
    14   0.114862E+05   0.937894E-02   0.534671E-02  -0.446917E+01
    15   0.114908E+05   0.104799E-01   0.609918E-02  -0.486743E+01
    16   0.115144E+05   0.116906E-01   0.688775E-02  -0.536921E+01
    17   0.115500E+05   0.130523E-01   0.770947E-02  -0.595463E+01
    18   0.115885E+05   0.146084E-01   0.856218E-02  -0.660273E+01
    19   0.116262E+05   0.163617E-01   0.944452E-02  -0.729130E+01
    20   0.116593E+05   0.182898E-01   0.103554E-01  -0.801087E+01
    21   0.116906E+05   0.203879E-01   0.112940E-01  -0.875745E+01
    22   0.117228E+05   0.226683E-01   0.122595E-01  -0.953257E+01
    23   0.117558E+05   0.251216E-01   0.132502E-01  -0.103309E+02
    24   0.117897E+05   0.277423E-01   0.142641E-01  -0.111485E+02
    25   0.118243E+05   0.305303E-01   0.152994E-01  -0.119977E+02
    26   0.118590E+05   0.334928E-01   0.163548E-01  -0.128795E+02
    27   0.118935E+05   0.366351E-01   0.174301E-01  -0.137847E+02
    28   0.119277E+05   0.399492E-01   0.185252E-01  -0.147097E+02
    29   0.119622E+05   0.434752E-01   0.196389E-01  -0.156525E+02
    30   0.119980E+05   0.472551E-01   0.207698E-01  -0.166249E+02
