#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.985381E+03   0.308782E-01   0.000000E+00   0.253751E+01   0.501362E-07   0.300989E-02  -0.122360E-04
     3   0.931110E+03   0.396855E-01   0.000000E+00   0.285433E+01   0.609951E-07   0.300260E-02  -0.131246E-04
     4   0.879984E+03   0.344913E-01   0.000000E+00   0.268162E+01   0.702602E-07   0.292534E-02  -0.111107E-04
     5   0.842135E+03   0.230873E-01   0.000000E+00   0.228607E+01   0.782929E-07   0.282105E-02  -0.757301E-05
     6   0.816558E+03   0.129404E-01   0.000000E+00   0.184243E+01   0.853029E-07   0.271117E-02  -0.368181E-05
     7   0.800604E+03   0.698429E-02   0.000000E+00   0.144782E+01   0.914742E-07   0.260474E-02  -0.331032E-06
     8   0.791304E+03   0.447997E-02   0.000000E+00   0.114507E+01   0.969350E-07   0.250153E-02   0.190990E-05
     9   0.787260E+03   0.357615E-02   0.000000E+00   0.939712E+00   0.101795E-06   0.240052E-02   0.283591E-05
    10   0.787085E+03   0.304151E-02   0.000000E+00   0.823995E+00   0.106123E-06   0.230348E-02   0.262402E-05
    11   0.789432E+03   0.255607E-02   0.000000E+00   0.780903E+00   0.110014E-06   0.221439E-02   0.171717E-05
    12   0.794967E+03   0.223102E-02   0.000000E+00   0.791805E+00   0.113470E-06   0.213254E-02   0.584126E-06
    13   0.801875E+03   0.214020E-02   0.000000E+00   0.833509E+00   0.116595E-06   0.206039E-02  -0.444893E-06
    14   0.809978E+03   0.222325E-02   0.000000E+00   0.885251E+00   0.119377E-06   0.199077E-02  -0.117784E-05
    15   0.818248E+03   0.239884E-02   0.000000E+00   0.939639E+00   0.121890E-06   0.192416E-02  -0.148946E-05
    16   0.828360E+03   0.264698E-02   0.000000E+00   0.998314E+00   0.124138E-06   0.185784E-02  -0.131676E-05
    17   0.840177E+03   0.301025E-02   0.000000E+00   0.105885E+01   0.126149E-06   0.179343E-02  -0.828362E-06
    18   0.852604E+03   0.353233E-02   0.000000E+00   0.112009E+01   0.127956E-06   0.173345E-02  -0.253124E-06
    19   0.866411E+03   0.421683E-02   0.000000E+00   0.118530E+01   0.129571E-06   0.167773E-02   0.157994E-06
    20   0.879988E+03   0.504125E-02   0.000000E+00   0.124953E+01   0.131000E-06   0.162547E-02   0.223040E-06
    21   0.894029E+03   0.599912E-02   0.000000E+00   0.131735E+01   0.132265E-06   0.157607E-02   0.484500E-07
    22   0.908557E+03   0.710137E-02   0.000000E+00   0.138912E+01   0.133388E-06   0.152903E-02  -0.206112E-06
    23   0.923182E+03   0.834017E-02   0.000000E+00   0.146220E+01   0.134378E-06   0.148419E-02  -0.447576E-06
    24   0.938220E+03   0.971263E-02   0.000000E+00   0.153320E+01   0.135242E-06   0.144147E-02  -0.618794E-06
    25   0.953805E+03   0.112233E-01   0.000000E+00   0.159434E+01   0.135990E-06   0.140078E-02  -0.738175E-06
    26   0.969446E+03   0.128846E-01   0.000000E+00   0.164924E+01   0.136634E-06   0.136200E-02  -0.824958E-06
    27   0.985554E+03   0.147074E-01   0.000000E+00   0.169874E+01   0.137184E-06   0.132478E-02  -0.827773E-06
