#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.952673E+03   0.376525E-01   0.000000E+00   0.255145E+01   0.482065E-07   0.317384E-02  -0.130393E-04
     3   0.895364E+03   0.573935E-01   0.000000E+00   0.312785E+01   0.590011E-07   0.316948E-02  -0.154616E-04
     4   0.842074E+03   0.596095E-01   0.000000E+00   0.314751E+01   0.682477E-07   0.309661E-02  -0.148802E-04
     5   0.802185E+03   0.482220E-01   0.000000E+00   0.285328E+01   0.762959E-07   0.299532E-02  -0.122611E-04
     6   0.774718E+03   0.321654E-01   0.000000E+00   0.242812E+01   0.833468E-07   0.288552E-02  -0.850525E-05
     7   0.757266E+03   0.186567E-01   0.000000E+00   0.198605E+01   0.895763E-07   0.277649E-02  -0.445333E-05
     8   0.747044E+03   0.105192E-01   0.000000E+00   0.159324E+01   0.951068E-07   0.266863E-02  -0.833857E-06
     9   0.742424E+03   0.697598E-02   0.000000E+00   0.127869E+01   0.100044E-06   0.256200E-02   0.182305E-05
    10   0.742112E+03   0.584562E-02   0.000000E+00   0.105419E+01   0.104455E-06   0.245856E-02   0.329720E-05
    11   0.744734E+03   0.533893E-02   0.000000E+00   0.919502E+00   0.108431E-06   0.236289E-02   0.367227E-05
    12   0.750709E+03   0.472568E-02   0.000000E+00   0.864930E+00   0.111975E-06   0.227484E-02   0.317793E-05
    13   0.758206E+03   0.406347E-02   0.000000E+00   0.868599E+00   0.115188E-06   0.219757E-02   0.206857E-05
    14   0.767109E+03   0.363642E-02   0.000000E+00   0.903619E+00   0.118058E-06   0.212438E-02   0.629410E-06
    15   0.776384E+03   0.357184E-02   0.000000E+00   0.954449E+00   0.120658E-06   0.205532E-02  -0.776854E-06
    16   0.787431E+03   0.373345E-02   0.000000E+00   0.101479E+01   0.122992E-06   0.198709E-02  -0.176765E-05
    17   0.800260E+03   0.406285E-02   0.000000E+00   0.107645E+01   0.125087E-06   0.192074E-02  -0.222379E-05
    18   0.813642E+03   0.438082E-02   0.000000E+00   0.113325E+01   0.126978E-06   0.185833E-02  -0.214780E-05
    19   0.828473E+03   0.472720E-02   0.000000E+00   0.118375E+01   0.128673E-06   0.179950E-02  -0.174911E-05
    20   0.843199E+03   0.523587E-02   0.000000E+00   0.122612E+01   0.130181E-06   0.174346E-02  -0.124775E-05
    21   0.858180E+03   0.593043E-02   0.000000E+00   0.126667E+01   0.131523E-06   0.168980E-02  -0.712983E-06
    22   0.873673E+03   0.687375E-02   0.000000E+00   0.131108E+01   0.132721E-06   0.163834E-02  -0.192795E-06
    23   0.889483E+03   0.803675E-02   0.000000E+00   0.135958E+01   0.133783E-06   0.158934E-02   0.200080E-06
    24   0.905666E+03   0.934884E-02   0.000000E+00   0.141100E+01   0.134717E-06   0.154311E-02   0.353292E-06
    25   0.922185E+03   0.108368E-01   0.000000E+00   0.146415E+01   0.135533E-06   0.149960E-02   0.217495E-06
    26   0.938872E+03   0.125042E-01   0.000000E+00   0.151869E+01   0.136243E-06   0.145858E-02  -0.196853E-06
    27   0.955963E+03   0.143284E-01   0.000000E+00   0.157058E+01   0.136856E-06   0.141946E-02  -0.703396E-06
    28   0.973307E+03   0.163091E-01   0.000000E+00   0.161652E+01   0.137380E-06   0.138171E-02  -0.110351E-05
    29   0.990960E+03   0.184470E-01   0.000000E+00   0.165477E+01   0.137813E-06   0.134546E-02  -0.132011E-05
    30   0.100884E+04   0.207519E-01   0.000000E+00   0.168303E+01   0.138157E-06   0.131090E-02  -0.133239E-05
    31   0.102681E+04   0.232306E-01   0.000000E+00   0.170163E+01   0.138424E-06   0.127780E-02  -0.122316E-05
    32   0.104512E+04   0.258820E-01   0.000000E+00   0.171083E+01   0.138626E-06   0.124588E-02  -0.108244E-05
    33   0.106376E+04   0.287266E-01   0.000000E+00   0.170840E+01   0.138765E-06   0.121494E-02  -0.927597E-06
    34   0.108258E+04   0.317993E-01   0.000000E+00   0.169362E+01   0.138845E-06   0.118485E-02  -0.756196E-06
    35   0.110153E+04   0.351241E-01   0.000000E+00   0.167151E+01   0.138870E-06   0.115556E-02  -0.559022E-06
    36   0.112051E+04   0.387180E-01   0.000000E+00   0.164579E+01   0.138843E-06   0.112721E-02  -0.345344E-06
    37   0.113957E+04   0.425490E-01   0.000000E+00   0.161332E+01   0.138769E-06   0.110038E-02  -0.204865E-06
    38   0.115901E+04   0.465903E-01   0.000000E+00   0.157185E+01   0.138651E-06   0.107557E-02  -0.215346E-06
    39   0.117884E+04   0.508575E-01   0.000000E+00   0.152083E+01   0.138490E-06   0.105233E-02  -0.327715E-06
    40   0.119877E+04   0.553820E-01   0.000000E+00   0.145995E+01   0.138290E-06   0.103001E-02  -0.461524E-06
    41   0.121890E+04   0.601937E-01   0.000000E+00   0.138857E+01   0.138052E-06   0.100807E-02  -0.551192E-06
    42   0.123902E+04   0.652949E-01   0.000000E+00   0.130564E+01   0.137779E-06   0.986476E-03  -0.589516E-06
    43   0.125926E+04   0.706808E-01   0.000000E+00   0.121002E+01   0.137473E-06   0.965332E-03  -0.583832E-06
    44   0.127949E+04   0.763320E-01   0.000000E+00   0.110144E+01   0.137136E-06   0.944729E-03  -0.541444E-06
    45   0.130005E+04   0.822392E-01   0.000000E+00   0.979732E+00   0.136771E-06   0.924762E-03  -0.469623E-06
    46   0.132090E+04   0.883986E-01   0.000000E+00   0.843040E+00   0.136380E-06   0.905506E-03  -0.377618E-06
    47   0.134187E+04   0.948144E-01   0.000000E+00   0.692692E+00   0.135966E-06   0.886944E-03  -0.282661E-06
    48   0.136290E+04   0.101500E+00   0.000000E+00   0.533465E+00   0.135529E-06   0.869041E-03  -0.203937E-06
    49   0.138408E+04   0.108446E+00   0.000000E+00   0.369542E+00   0.135072E-06   0.851760E-03  -0.160585E-06
    50   0.140564E+04   0.115637E+00   0.000000E+00   0.198326E+00   0.134595E-06   0.835067E-03  -0.171701E-06
    51   0.142735E+04   0.123050E+00   0.000000E+00   0.155639E-01   0.134102E-06   0.818922E-03  -0.248446E-06
    52   0.144943E+04   0.130768E+00   0.000000E+00  -0.183976E+00   0.133592E-06   0.803264E-03  -0.370401E-06
    53   0.147150E+04   0.138935E+00   0.000000E+00  -0.403922E+00   0.133067E-06   0.788034E-03  -0.509312E-06
    54   0.149348E+04   0.147539E+00   0.000000E+00  -0.639934E+00   0.132527E-06   0.773166E-03  -0.636989E-06
    55   0.151557E+04   0.156552E+00   0.000000E+00  -0.887556E+00   0.131975E-06   0.758600E-03  -0.725297E-06
    56   0.153800E+04   0.165827E+00   0.000000E+00  -0.114839E+01   0.131410E-06   0.744298E-03  -0.754797E-06
    57   0.156069E+04   0.175257E+00   0.000000E+00  -0.142198E+01   0.130834E-06   0.730322E-03  -0.740635E-06
    58   0.158367E+04   0.184849E+00   0.000000E+00  -0.170857E+01   0.130247E-06   0.716758E-03  -0.706558E-06
    59   0.160679E+04   0.194645E+00   0.000000E+00  -0.200844E+01   0.129650E-06   0.703693E-03  -0.676268E-06
    60   0.163008E+04   0.204696E+00   0.000000E+00  -0.232042E+01   0.129043E-06   0.691213E-03  -0.673426E-06
    61   0.165383E+04   0.215098E+00   0.000000E+00  -0.264335E+01   0.128426E-06   0.679371E-03  -0.714060E-06
