#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.135675E+04   0.506029E-01   0.000000E+00   0.415475E+01   0.517226E-07   0.310432E-02  -0.159103E-04
     3   0.129791E+04   0.814120E-01   0.000000E+00   0.505233E+01   0.629821E-07   0.314803E-02  -0.193350E-04
     4   0.123276E+04   0.899194E-01   0.000000E+00   0.511565E+01   0.725928E-07   0.310037E-02  -0.193030E-04
     5   0.117948E+04   0.780135E-01   0.000000E+00   0.469720E+01   0.809270E-07   0.301341E-02  -0.167907E-04
     6   0.113921E+04   0.560799E-01   0.000000E+00   0.406119E+01   0.882009E-07   0.291256E-02  -0.127093E-04
     7   0.111017E+04   0.346259E-01   0.000000E+00   0.337423E+01   0.946048E-07   0.280900E-02  -0.795442E-05
     8   0.108950E+04   0.195697E-01   0.000000E+00   0.273597E+01   0.100272E-06   0.270326E-02  -0.335573E-05
     9   0.107538E+04   0.117254E-01   0.000000E+00   0.219580E+01   0.105315E-06   0.259594E-02   0.424762E-06
    10   0.106640E+04   0.883384E-02   0.000000E+00   0.177837E+01   0.109806E-06   0.249039E-02   0.302196E-05
    11   0.106100E+04   0.804062E-02   0.000000E+00   0.149090E+01   0.113843E-06   0.239266E-02   0.437336E-05
    12   0.105986E+04   0.748013E-02   0.000000E+00   0.132821E+01   0.117428E-06   0.230339E-02   0.457445E-05
    13   0.106006E+04   0.659506E-02   0.000000E+00   0.126442E+01   0.120669E-06   0.222574E-02   0.379393E-05
    14   0.106171E+04   0.565559E-02   0.000000E+00   0.126632E+01   0.123554E-06   0.215193E-02   0.230512E-05
    15   0.106354E+04   0.507948E-02   0.000000E+00   0.131140E+01   0.126159E-06   0.208224E-02   0.531287E-06
    16   0.106794E+04   0.499194E-02   0.000000E+00   0.138529E+01   0.128488E-06   0.201354E-02  -0.104529E-05
    17   0.107469E+04   0.529274E-02   0.000000E+00   0.147219E+01   0.130571E-06   0.194707E-02  -0.219028E-05
    18   0.108204E+04   0.567667E-02   0.000000E+00   0.155908E+01   0.132442E-06   0.188494E-02  -0.278801E-05
    19   0.109074E+04   0.602425E-02   0.000000E+00   0.164002E+01   0.134112E-06   0.182646E-02  -0.292121E-05
    20   0.109921E+04   0.635145E-02   0.000000E+00   0.170997E+01   0.135590E-06   0.177040E-02  -0.270187E-05
    21   0.110783E+04   0.676311E-02   0.000000E+00   0.177485E+01   0.136898E-06   0.171628E-02  -0.217051E-05
    22   0.111688E+04   0.744024E-02   0.000000E+00   0.184087E+01   0.138057E-06   0.166395E-02  -0.138799E-05
    23   0.112622E+04   0.842040E-02   0.000000E+00   0.190949E+01   0.139078E-06   0.161389E-02  -0.568065E-06
    24   0.113595E+04   0.966752E-02   0.000000E+00   0.198131E+01   0.139967E-06   0.156659E-02   0.622320E-07
    25   0.114600E+04   0.111658E-01   0.000000E+00   0.205821E+01   0.140737E-06   0.152201E-02   0.368539E-06
    26   0.115619E+04   0.128677E-01   0.000000E+00   0.214253E+01   0.141398E-06   0.147991E-02   0.290700E-06
    27   0.116675E+04   0.147425E-01   0.000000E+00   0.223020E+01   0.141961E-06   0.143988E-02  -0.288725E-07
    28   0.117753E+04   0.167942E-01   0.000000E+00   0.231725E+01   0.142432E-06   0.140157E-02  -0.421877E-06
    29   0.118857E+04   0.190341E-01   0.000000E+00   0.240152E+01   0.142811E-06   0.136513E-02  -0.813997E-06
    30   0.119978E+04   0.214739E-01   0.000000E+00   0.247979E+01   0.143101E-06   0.133068E-02  -0.116318E-05
    31   0.121107E+04   0.240805E-01   0.000000E+00   0.254931E+01   0.143312E-06   0.129783E-02  -0.146207E-05
    32   0.122270E+04   0.268135E-01   0.000000E+00   0.260736E+01   0.143456E-06   0.126606E-02  -0.169667E-05
    33   0.123468E+04   0.296961E-01   0.000000E+00   0.265119E+01   0.143538E-06   0.123506E-02  -0.179225E-05
    34   0.124684E+04   0.327771E-01   0.000000E+00   0.268031E+01   0.143560E-06   0.120463E-02  -0.167935E-05
    35   0.125914E+04   0.360954E-01   0.000000E+00   0.270024E+01   0.143526E-06   0.117483E-02  -0.136920E-05
    36   0.127153E+04   0.396834E-01   0.000000E+00   0.271498E+01   0.143440E-06   0.114589E-02  -0.920300E-06
    37   0.128399E+04   0.435224E-01   0.000000E+00   0.272011E+01   0.143307E-06   0.111842E-02  -0.500160E-06
    38   0.129683E+04   0.475956E-01   0.000000E+00   0.271271E+01   0.143130E-06   0.109291E-02  -0.259673E-06
    39   0.131002E+04   0.519161E-01   0.000000E+00   0.269540E+01   0.142911E-06   0.106900E-02  -0.176650E-06
    40   0.132333E+04   0.565100E-01   0.000000E+00   0.267198E+01   0.142651E-06   0.104612E-02  -0.185960E-06
    41   0.133688E+04   0.614014E-01   0.000000E+00   0.264478E+01   0.142354E-06   0.102383E-02  -0.232106E-06
