#    L    TT             EE             TE             PP             TP          
     2   0.124641E+04   0.308782E-01   0.318037E+01   0.104001E+07   0.264756E+05
     3   0.119740E+04   0.396855E-01   0.351258E+01   0.160135E+07   0.319668E+05
     4   0.114400E+04   0.344913E-01   0.327314E+01   0.209874E+07   0.345670E+05
     5   0.110204E+04   0.230873E-01   0.278169E+01   0.253764E+07   0.356043E+05
     6   0.107197E+04   0.129404E-01   0.224194E+01   0.292509E+07   0.358173E+05
     7   0.105154E+04   0.698428E-02   0.176520E+01   0.326877E+07   0.355877E+05
     8   0.103780E+04   0.447997E-02   0.139897E+01   0.357474E+07   0.350600E+05
     9   0.102944E+04   0.357615E-02   0.114846E+01   0.384839E+07   0.343174E+05
    10   0.102496E+04   0.304151E-02   0.100415E+01   0.409348E+07   0.334592E+05
    11   0.102297E+04   0.255605E-02   0.946447E+00   0.431458E+07   0.325984E+05
    12   0.102454E+04   0.223100E-02   0.954120E+00   0.451260E+07   0.317562E+05
    13   0.102710E+04   0.214021E-02   0.100081E+01   0.469222E+07   0.309892E+05
    14   0.103060E+04   0.222325E-02   0.106337E+01   0.485357E+07   0.301968E+05
    15   0.103394E+04   0.239882E-02   0.113323E+01   0.500010E+07   0.293978E+05
    16   0.103957E+04   0.264696E-02   0.121116E+01   0.513235E+07   0.285623E+05
    17   0.104724E+04   0.301025E-02   0.129396E+01   0.525175E+07   0.277240E+05
    18   0.105545E+04   0.353233E-02   0.137972E+01   0.536003E+07   0.269290E+05
    19   0.106491E+04   0.421683E-02   0.147104E+01   0.545785E+07   0.261794E+05
    20   0.107396E+04   0.504124E-02   0.156243E+01   0.554574E+07   0.254665E+05
    21   0.108335E+04   0.599911E-02   0.165844E+01   0.562479E+07   0.247831E+05
    22   0.109313E+04   0.710136E-02   0.175945E+01   0.569607E+07   0.241238E+05
    23   0.110294E+04   0.834017E-02   0.186258E+01   0.576011E+07   0.234877E+05
    24   0.111315E+04   0.971261E-02   0.196425E+01   0.581730E+07   0.228753E+05
    25   0.112388E+04   0.112233E-01   0.205678E+01   0.586823E+07   0.222867E+05
    26   0.113463E+04   0.128846E-01   0.214393E+01   0.591352E+07   0.217211E+05
    27   0.114582E+04   0.147074E-01   0.222628E+01   0.595362E+07   0.211741E+05
    28   0.115725E+04   0.166857E-01   0.229884E+01   0.598892E+07   0.206419E+05
    29   0.116886E+04   0.188455E-01   0.236673E+01   0.601948E+07   0.201286E+05
    30   0.118082E+04   0.212154E-01   0.242343E+01   0.604541E+07   0.196388E+05
    31   0.119255E+04   0.237919E-01   0.247977E+01   0.606726E+07   0.191709E+05
    32   0.120489E+04   0.265914E-01   0.253066E+01   0.608558E+07   0.187222E+05
    33   0.121729E+04   0.295733E-01   0.257433E+01   0.610061E+07   0.182902E+05
    34   0.122976E+04   0.327626E-01   0.261162E+01   0.611247E+07   0.178723E+05
    35   0.124287E+04   0.361659E-01   0.263350E+01   0.612139E+07   0.174650E+05
    36   0.125572E+04   0.398121E-01   0.265035E+01   0.612759E+07   0.170665E+05
    37   0.126882E+04   0.437269E-01   0.265636E+01   0.613126E+07   0.166836E+05
    38   0.128227E+04   0.478987E-01   0.265347E+01   0.613257E+07   0.163226E+05
    39   0.129597E+04   0.523170E-01   0.264138E+01   0.613164E+07   0.159803E+05
    40   0.130986E+04   0.569740E-01   0.261819E+01   0.612859E+07   0.156510E+05
    41   0.132388E+04   0.618664E-01   0.258259E+01   0.612354E+07   0.153299E+05
    42   0.133803E+04   0.670069E-01   0.253559E+01   0.611661E+07   0.150163E+05
    43   0.135231E+04   0.724126E-01   0.247834E+01   0.610792E+07   0.147106E+05
    44   0.136678E+04   0.780982E-01   0.241043E+01   0.609760E+07   0.144128E+05
    45   0.138149E+04   0.840755E-01   0.233110E+01   0.608578E+07   0.141234E+05
    46   0.139641E+04   0.903519E-01   0.224004E+01   0.607257E+07   0.138424E+05
    47   0.141153E+04   0.969276E-01   0.213664E+01   0.605807E+07   0.135696E+05
    48   0.142682E+04   0.103794E+00   0.202023E+01   0.604237E+07   0.133046E+05
    49   0.144228E+04   0.110943E+00   0.189022E+01   0.602555E+07   0.130472E+05
    50   0.145796E+04   0.118376E+00   0.174613E+01   0.600769E+07   0.127968E+05
    51   0.147392E+04   0.126096E+00   0.158783E+01   0.598888E+07   0.125533E+05
    52   0.149012E+04   0.134109E+00   0.141625E+01   0.596917E+07   0.123169E+05
    53   0.150649E+04   0.142416E+00   0.123239E+01   0.594862E+07   0.120881E+05
    54   0.152300E+04   0.151018E+00   0.103638E+01   0.592729E+07   0.118671E+05
    55   0.153966E+04   0.159921E+00   0.827978E+00   0.590522E+07   0.116543E+05
    56   0.155656E+04   0.169121E+00   0.606307E+00   0.588248E+07   0.114498E+05
    57   0.157383E+04   0.178614E+00   0.370462E+00   0.585908E+07   0.112531E+05
    58   0.159141E+04   0.188400E+00   0.120213E+00   0.583508E+07   0.110632E+05
    59   0.160922E+04   0.198478E+00  -0.144384E+00   0.581049E+07   0.108792E+05
    60   0.162724E+04   0.208841E+00  -0.422854E+00   0.578535E+07   0.107002E+05
    61   0.164549E+04   0.219480E+00  -0.714752E+00   0.575970E+07   0.105254E+05
    62   0.166396E+04   0.230394E+00  -0.102010E+01   0.573358E+07   0.103543E+05
    63   0.168268E+04   0.241578E+00  -0.133906E+01   0.570704E+07   0.101866E+05
    64   0.170165E+04   0.253032E+00  -0.167178E+01   0.568014E+07   0.100217E+05
    65   0.172090E+04   0.264754E+00  -0.201846E+01   0.565292E+07   0.985936E+04
    66   0.174046E+04   0.276737E+00  -0.237934E+01   0.562544E+07   0.969929E+04
    67   0.176031E+04   0.288975E+00  -0.275390E+01   0.559771E+07   0.954208E+04
    68   0.178043E+04   0.301458E+00  -0.314144E+01   0.556977E+07   0.938848E+04
    69   0.180077E+04   0.314177E+00  -0.354128E+01   0.554164E+07   0.923924E+04
    70   0.182130E+04   0.327128E+00  -0.395295E+01   0.551334E+07   0.909513E+04
    71   0.184201E+04   0.340306E+00  -0.437627E+01   0.548490E+07   0.895668E+04
    72   0.186300E+04   0.353705E+00  -0.481216E+01   0.545632E+07   0.882356E+04
    73   0.188439E+04   0.367323E+00  -0.526161E+01   0.542760E+07   0.869524E+04
    74   0.190619E+04   0.381146E+00  -0.572453E+01   0.539875E+07   0.857116E+04
    75   0.192839E+04   0.395163E+00  -0.620048E+01   0.536977E+07   0.845079E+04
    76   0.195096E+04   0.409361E+00  -0.668894E+01   0.534068E+07   0.833359E+04
    77   0.197376E+04   0.423728E+00  -0.718849E+01   0.531149E+07   0.821916E+04
    78   0.199679E+04   0.438252E+00  -0.769866E+01   0.528221E+07   0.810708E+04
    79   0.202008E+04   0.452923E+00  -0.821932E+01   0.525288E+07   0.799696E+04
    80   0.204368E+04   0.467727E+00  -0.875047E+01   0.522350E+07   0.788839E+04
    81   0.206759E+04   0.482655E+00  -0.929189E+01   0.519411E+07   0.778109E+04
    82   0.209183E+04   0.497696E+00  -0.984315E+01   0.516472E+07   0.767517E+04
    83   0.211638E+04   0.512839E+00  -0.104040E+02   0.513533E+07   0.757085E+04
    84   0.214124E+04   0.528072E+00  -0.109739E+02   0.510598E+07   0.746837E+04
    85   0.216640E+04   0.543386E+00  -0.115527E+02   0.507666E+07   0.736795E+04
    86   0.219186E+04   0.558769E+00  -0.121397E+02   0.504740E+07   0.726978E+04
    87   0.221759E+04   0.574208E+00  -0.127345E+02   0.501820E+07   0.717387E+04
    88   0.224357E+04   0.589692E+00  -0.133365E+02   0.498907E+07   0.708020E+04
    89   0.226980E+04   0.605207E+00  -0.139454E+02   0.496001E+07   0.698874E+04
    90   0.229630E+04   0.620735E+00  -0.145609E+02   0.493105E+07   0.689949E+04
    91   0.232307E+04   0.636263E+00  -0.151825E+02   0.490217E+07   0.681239E+04
    92   0.235011E+04   0.651777E+00  -0.158099E+02   0.487340E+07   0.672739E+04
    93   0.237744E+04   0.667262E+00  -0.164426E+02   0.484472E+07   0.664443E+04
    94   0.240504E+04   0.682705E+00  -0.170804E+02   0.481615E+07   0.656341E+04
    95   0.243295E+04   0.698091E+00  -0.177228E+02   0.478769E+07   0.648429E+04
    96   0.246114E+04   0.713406E+00  -0.183694E+02   0.475933E+07   0.640697E+04
    97   0.248962E+04   0.728636E+00  -0.190198E+02   0.473110E+07   0.633140E+04
    98   0.251839E+04   0.743764E+00  -0.196734E+02   0.470298E+07   0.625749E+04
    99   0.254744E+04   0.758778E+00  -0.203297E+02   0.467499E+07   0.618518E+04
   100   0.257678E+04   0.773665E+00  -0.209883E+02   0.464712E+07   0.611439E+04
   101   0.260640E+04   0.788411E+00  -0.216487E+02   0.461938E+07   0.604506E+04
   102   0.263630E+04   0.802994E+00  -0.223105E+02   0.459178E+07   0.597711E+04
   103   0.266647E+04   0.817413E+00  -0.229729E+02   0.456431E+07   0.591047E+04
   104   0.269691E+04   0.831640E+00  -0.236356E+02   0.453699E+07   0.584507E+04
   105   0.272760E+04   0.845668E+00  -0.242980E+02   0.450981E+07   0.578083E+04
   106   0.275855E+04   0.859480E+00  -0.249594E+02   0.448277E+07   0.571769E+04
   107   0.278975E+04   0.873071E+00  -0.256193E+02   0.445589E+07   0.565557E+04
   108   0.282118E+04   0.886419E+00  -0.262773E+02   0.442916E+07   0.559440E+04
   109   0.285285E+04   0.899515E+00  -0.269325E+02   0.440260E+07   0.553411E+04
   110   0.288474E+04   0.912339E+00  -0.275847E+02   0.437619E+07   0.547463E+04
   111   0.291685E+04   0.924882E+00  -0.282332E+02   0.434995E+07   0.541589E+04
   112   0.294918E+04   0.937137E+00  -0.288774E+02   0.432388E+07   0.535790E+04
   113   0.298171E+04   0.949082E+00  -0.295167E+02   0.429798E+07   0.530064E+04
   114   0.301444E+04   0.960702E+00  -0.301506E+02   0.427224E+07   0.524414E+04
   115   0.304737E+04   0.971996E+00  -0.307784E+02   0.424667E+07   0.518839E+04
   116   0.308048E+04   0.982949E+00  -0.313997E+02   0.422127E+07   0.513340E+04
   117   0.311378E+04   0.993539E+00  -0.320137E+02   0.419603E+07   0.507917E+04
   118   0.314724E+04   0.100377E+01  -0.326200E+02   0.417097E+07   0.502570E+04
   119   0.318086E+04   0.101361E+01  -0.332180E+02   0.414608E+07   0.497301E+04
   120   0.321465E+04   0.102308E+01  -0.338071E+02   0.412135E+07   0.492109E+04
   121   0.324857E+04   0.103214E+01  -0.343867E+02   0.409680E+07   0.486995E+04
   122   0.328263E+04   0.104079E+01  -0.349563E+02   0.407242E+07   0.481959E+04
   123   0.331683E+04   0.104903E+01  -0.355153E+02   0.404821E+07   0.477002E+04
   124   0.335114E+04   0.105683E+01  -0.360631E+02   0.402417E+07   0.472125E+04
   125   0.338556E+04   0.106420E+01  -0.365992E+02   0.400031E+07   0.467327E+04
   126   0.342008E+04   0.107113E+01  -0.371231E+02   0.397661E+07   0.462610E+04
   127   0.345469E+04   0.107761E+01  -0.376341E+02   0.395309E+07   0.457973E+04
   128   0.348938E+04   0.108362E+01  -0.381318E+02   0.392975E+07   0.453417E+04
   129   0.352416E+04   0.108918E+01  -0.386157E+02   0.390657E+07   0.448942E+04
   130   0.355899E+04   0.109426E+01  -0.390851E+02   0.388357E+07   0.444550E+04
   131   0.359388E+04   0.109886E+01  -0.395395E+02   0.386075E+07   0.440239E+04
   132   0.362881E+04   0.110298E+01  -0.399785E+02   0.383810E+07   0.436009E+04
   133   0.366378E+04   0.110661E+01  -0.404016E+02   0.381563E+07   0.431855E+04
   134   0.369879E+04   0.110976E+01  -0.408081E+02   0.379332E+07   0.427777E+04
   135   0.373381E+04   0.111242E+01  -0.411978E+02   0.377119E+07   0.423770E+04
   136   0.376885E+04   0.111458E+01  -0.415699E+02   0.374922E+07   0.419834E+04
   137   0.380389E+04   0.111624E+01  -0.419242E+02   0.372743E+07   0.415965E+04
   138   0.383893E+04   0.111742E+01  -0.422600E+02   0.370580E+07   0.412160E+04
   139   0.387395E+04   0.111809E+01  -0.425771E+02   0.368434E+07   0.408418E+04
   140   0.390895E+04   0.111827E+01  -0.428750E+02   0.366305E+07   0.404735E+04
   141   0.394392E+04   0.111796E+01  -0.431532E+02   0.364192E+07   0.401110E+04
   142   0.397885E+04   0.111716E+01  -0.434113E+02   0.362095E+07   0.397539E+04
   143   0.401374E+04   0.111586E+01  -0.436489E+02   0.360015E+07   0.394020E+04
   144   0.404856E+04   0.111408E+01  -0.438656E+02   0.357951E+07   0.390551E+04
   145   0.408332E+04   0.111181E+01  -0.440609E+02   0.355903E+07   0.387129E+04
   146   0.411799E+04   0.110907E+01  -0.442345E+02   0.353871E+07   0.383751E+04
   147   0.415255E+04   0.110586E+01  -0.443858E+02   0.351855E+07   0.380415E+04
   148   0.418700E+04   0.110218E+01  -0.445146E+02   0.349854E+07   0.377119E+04
   149   0.422132E+04   0.109804E+01  -0.446203E+02   0.347869E+07   0.373860E+04
   150   0.425549E+04   0.109345E+01  -0.447026E+02   0.345900E+07   0.370635E+04
   151   0.428949E+04   0.108842E+01  -0.447610E+02   0.343947E+07   0.367443E+04
   152   0.432333E+04   0.108295E+01  -0.447954E+02   0.342008E+07   0.364282E+04
   153   0.435699E+04   0.107705E+01  -0.448054E+02   0.340085E+07   0.361153E+04
   154   0.439047E+04   0.107075E+01  -0.447907E+02   0.338177E+07   0.358055E+04
   155   0.442376E+04   0.106404E+01  -0.447511E+02   0.336285E+07   0.354989E+04
   156   0.445687E+04   0.105695E+01  -0.446863E+02   0.334407E+07   0.351954E+04
   157   0.448977E+04   0.104946E+01  -0.445960E+02   0.332544E+07   0.348950E+04
   158   0.452248E+04   0.104163E+01  -0.444800E+02   0.330696E+07   0.345976E+04
   159   0.455497E+04   0.103344E+01  -0.443380E+02   0.328863E+07   0.343034E+04
   160   0.458723E+04   0.102491E+01  -0.441699E+02   0.327045E+07   0.340122E+04
   161   0.461924E+04   0.101607E+01  -0.439753E+02   0.325241E+07   0.337240E+04
   162   0.465100E+04   0.100692E+01  -0.437542E+02   0.323451E+07   0.334388E+04
   163   0.468249E+04   0.997493E+00  -0.435060E+02   0.321676E+07   0.331567E+04
   164   0.471369E+04   0.987795E+00  -0.432309E+02   0.319915E+07   0.328776E+04
   165   0.474460E+04   0.977845E+00  -0.429285E+02   0.318169E+07   0.326014E+04
   166   0.477521E+04   0.967665E+00  -0.425987E+02   0.316436E+07   0.323282E+04
   167   0.480550E+04   0.957276E+00  -0.422414E+02   0.314718E+07   0.320579E+04
   168   0.483546E+04   0.946703E+00  -0.418565E+02   0.313013E+07   0.317906E+04
   169   0.486509E+04   0.935965E+00  -0.414439E+02   0.311323E+07   0.315262E+04
   170   0.489438E+04   0.925080E+00  -0.410035E+02   0.309646E+07   0.312647E+04
   171   0.492331E+04   0.914075E+00  -0.405352E+02   0.307983E+07   0.310060E+04
   172   0.495188E+04   0.902973E+00  -0.400390E+02   0.306333E+07   0.307503E+04
   173   0.498009E+04   0.891797E+00  -0.395148E+02   0.304697E+07   0.304974E+04
   174   0.500790E+04   0.880569E+00  -0.389626E+02   0.303074E+07   0.302473E+04
   175   0.503533E+04   0.869325E+00  -0.383825E+02   0.301465E+07   0.300001E+04
   176   0.506236E+04   0.858081E+00  -0.377743E+02   0.299868E+07   0.297556E+04
   177   0.508898E+04   0.846874E+00  -0.371382E+02   0.298285E+07   0.295140E+04
   178   0.511518E+04   0.835726E+00  -0.364741E+02   0.296715E+07   0.292750E+04
   179   0.514095E+04   0.824659E+00  -0.357820E+02   0.295157E+07   0.290386E+04
   180   0.516628E+04   0.813711E+00  -0.350620E+02   0.293613E+07   0.288049E+04
   181   0.519116E+04   0.802911E+00  -0.343144E+02   0.292081E+07   0.285736E+04
   182   0.521560E+04   0.792289E+00  -0.335392E+02   0.290561E+07   0.283448E+04
   183   0.523958E+04   0.781867E+00  -0.327364E+02   0.289054E+07   0.281185E+04
   184   0.526308E+04   0.771682E+00  -0.319063E+02   0.287559E+07   0.278944E+04
   185   0.528611E+04   0.761773E+00  -0.310489E+02   0.286076E+07   0.276727E+04
   186   0.530865E+04   0.752160E+00  -0.301644E+02   0.284605E+07   0.274532E+04
   187   0.533070E+04   0.742874E+00  -0.292530E+02   0.283146E+07   0.272359E+04
   188   0.535225E+04   0.733957E+00  -0.283148E+02   0.281699E+07   0.270207E+04
   189   0.537328E+04   0.725438E+00  -0.273502E+02   0.280263E+07   0.268076E+04
   190   0.539381E+04   0.717351E+00  -0.263592E+02   0.278839E+07   0.265965E+04
   191   0.541381E+04   0.709730E+00  -0.253423E+02   0.277426E+07   0.263874E+04
   192   0.543327E+04   0.702609E+00  -0.242995E+02   0.276025E+07   0.261801E+04
   193   0.545219E+04   0.696021E+00  -0.232311E+02   0.274635E+07   0.259747E+04
   194   0.547057E+04   0.690001E+00  -0.221374E+02   0.273256E+07   0.257710E+04
   195   0.548839E+04   0.684587E+00  -0.210188E+02   0.271887E+07   0.255691E+04
   196   0.550566E+04   0.679813E+00  -0.198756E+02   0.270530E+07   0.253688E+04
   197   0.552238E+04   0.675716E+00  -0.187081E+02   0.269183E+07   0.251702E+04
   198   0.553854E+04   0.672332E+00  -0.175167E+02   0.267846E+07   0.249731E+04
   199   0.555412E+04   0.669698E+00  -0.163016E+02   0.266520E+07   0.247775E+04
   200   0.556913E+04   0.667848E+00  -0.150635E+02   0.265205E+07   0.245833E+04
   201   0.558357E+04   0.666820E+00  -0.138024E+02   0.263899E+07   0.243905E+04
   202   0.559741E+04   0.666650E+00  -0.125190E+02   0.262604E+07   0.241991E+04
   203   0.561065E+04   0.667376E+00  -0.112135E+02   0.261319E+07   0.240090E+04
   204   0.562328E+04   0.669033E+00  -0.988642E+01   0.260043E+07   0.238203E+04
   205   0.563528E+04   0.671659E+00  -0.853820E+01   0.258778E+07   0.236330E+04
   206   0.564665E+04   0.675289E+00  -0.716923E+01   0.257522E+07   0.234470E+04
   207   0.565737E+04   0.679962E+00  -0.577987E+01   0.256276E+07   0.232623E+04
   208   0.566745E+04   0.685713E+00  -0.437073E+01   0.255039E+07   0.230789E+04
   209   0.567690E+04   0.692579E+00  -0.294234E+01   0.253813E+07   0.228969E+04
   210   0.568572E+04   0.700597E+00  -0.149527E+01   0.252595E+07   0.227161E+04
   211   0.569391E+04   0.709804E+00  -0.300545E-01   0.251387E+07   0.225367E+04
   212   0.570147E+04   0.720235E+00   0.145274E+01   0.250188E+07   0.223585E+04
   213   0.570843E+04   0.731929E+00   0.295255E+01   0.248998E+07   0.221817E+04
   214   0.571477E+04   0.744921E+00   0.446884E+01   0.247818E+07   0.220061E+04
   215   0.572050E+04   0.759243E+00   0.600100E+01   0.246646E+07   0.218318E+04
   216   0.572561E+04   0.774939E+00   0.754845E+01   0.245484E+07   0.216587E+04
   217   0.573008E+04   0.792039E+00   0.911056E+01   0.244330E+07   0.214869E+04
   218   0.573393E+04   0.810573E+00   0.106868E+02   0.243185E+07   0.213163E+04
   219   0.573715E+04   0.830585E+00   0.122766E+02   0.242049E+07   0.211470E+04
   220   0.573972E+04   0.852105E+00   0.138793E+02   0.240922E+07   0.209788E+04
   221   0.574166E+04   0.875163E+00   0.154942E+02   0.239803E+07   0.208119E+04
   222   0.574294E+04   0.899803E+00   0.171209E+02   0.238692E+07   0.206463E+04
   223   0.574358E+04   0.926047E+00   0.187586E+02   0.237590E+07   0.204818E+04
   224   0.574358E+04   0.953933E+00   0.204067E+02   0.236497E+07   0.203185E+04
   225   0.574294E+04   0.983484E+00   0.220644E+02   0.235411E+07   0.201564E+04
   226   0.574165E+04   0.101474E+01   0.237311E+02   0.234334E+07   0.199954E+04
   227   0.573972E+04   0.104774E+01   0.254063E+02   0.233264E+07   0.198357E+04
   228   0.573715E+04   0.108250E+01   0.270891E+02   0.232203E+07   0.196771E+04
   229   0.573395E+04   0.111905E+01   0.287789E+02   0.231150E+07   0.195196E+04
   230   0.573011E+04   0.115743E+01   0.304751E+02   0.230104E+07   0.193633E+04
   231   0.572563E+04   0.119766E+01   0.321769E+02   0.229066E+07   0.192082E+04
   232   0.572052E+04   0.123976E+01   0.338836E+02   0.228036E+07   0.190542E+04
   233   0.571477E+04   0.128378E+01   0.355945E+02   0.227013E+07   0.189012E+04
   234   0.570839E+04   0.132972E+01   0.373088E+02   0.225998E+07   0.187495E+04
