#    L    TT             EE             BB             TE          
     2   0.493199E+03   0.121224E-01   0.149252E-01   0.115165E+01
     3   0.396771E+03   0.111517E-01   0.146938E-01   0.512007E+00
     4   0.374569E+03   0.933289E-02   0.123566E-01   0.322634E+00
     5   0.367533E+03   0.702150E-02   0.933608E-02   0.264429E+00
     6   0.365961E+03   0.497066E-02   0.660945E-02   0.252440E+00
     7   0.366921E+03   0.357321E-02   0.463377E-02   0.253965E+00
     8   0.368895E+03   0.284676E-02   0.347990E-02   0.252448E+00
     9   0.371350E+03   0.264217E-02   0.301644E-02   0.245798E+00
    10   0.373953E+03   0.275998E-02   0.305298E-02   0.234022E+00
    11   0.376229E+03   0.305820E-02   0.340474E-02   0.218429E+00
    12   0.377743E+03   0.345908E-02   0.394181E-02   0.197167E+00
    13   0.378715E+03   0.391904E-02   0.458207E-02   0.176213E+00
    14   0.379616E+03   0.443693E-02   0.528278E-02   0.149945E+00
    15   0.380949E+03   0.500785E-02   0.602605E-02   0.122734E+00
    16   0.382438E+03   0.562056E-02   0.680480E-02   0.925916E-01
    17   0.383726E+03   0.626987E-02   0.761607E-02   0.589954E-01
    18   0.384560E+03   0.695315E-02   0.845772E-02   0.225492E-01
    19   0.384938E+03   0.767085E-02   0.932835E-02  -0.160957E-01
    20   0.384926E+03   0.842400E-02   0.102269E-01  -0.565093E-01
    21   0.384613E+03   0.921274E-02   0.111525E-01  -0.991932E-01
    22   0.384077E+03   0.100367E-01   0.121044E-01  -0.144668E+00
    23   0.383328E+03   0.108946E-01   0.130809E-01  -0.192601E+00
    24   0.382365E+03   0.117842E-01   0.140799E-01  -0.242516E+00
    25   0.381209E+03   0.127023E-01   0.150997E-01  -0.294238E+00
    26   0.379883E+03   0.136450E-01   0.161390E-01  -0.347595E+00
    27   0.378394E+03   0.146085E-01   0.171975E-01  -0.402125E+00
    28   0.376741E+03   0.155920E-01   0.182751E-01  -0.457512E+00
    29   0.374920E+03   0.166053E-01   0.193708E-01  -0.514304E+00
    30   0.372932E+03   0.176581E-01   0.204830E-01  -0.573025E+00
    31   0.370800E+03   0.187481E-01   0.216102E-01  -0.633224E+00
    32   0.368545E+03   0.198693E-01   0.227507E-01  -0.694315E+00
    33   0.366154E+03   0.210106E-01   0.239024E-01  -0.756119E+00
    34   0.363615E+03   0.221632E-01   0.250627E-01  -0.818560E+00
    35   0.360942E+03   0.233310E-01   0.262278E-01  -0.881546E+00
    36   0.358157E+03   0.245196E-01   0.273944E-01  -0.944949E+00
    37   0.355260E+03   0.257309E-01   0.285648E-01  -0.100851E+01
    38   0.352254E+03   0.269645E-01   0.297410E-01  -0.107199E+01
    39   0.349139E+03   0.282167E-01   0.309203E-01  -0.113533E+01
    40   0.345918E+03   0.294827E-01   0.320985E-01  -0.119850E+01
    41   0.342596E+03   0.307586E-01   0.332723E-01  -0.126149E+01
    42   0.339176E+03   0.320437E-01   0.344403E-01  -0.132419E+01
    43   0.335663E+03   0.333379E-01   0.356017E-01  -0.138648E+01
    44   0.332060E+03   0.346413E-01   0.367557E-01  -0.144825E+01
    45   0.328372E+03   0.359539E-01   0.379015E-01  -0.150938E+01
    46   0.324604E+03   0.372754E-01   0.390381E-01  -0.156976E+01
    47   0.320759E+03   0.386046E-01   0.401643E-01  -0.162926E+01
    48   0.316843E+03   0.399402E-01   0.412784E-01  -0.168778E+01
    49   0.312859E+03   0.412806E-01   0.423790E-01  -0.174519E+01
    50   0.308812E+03   0.426246E-01   0.434646E-01  -0.180139E+01
    51   0.304706E+03   0.439705E-01   0.445337E-01  -0.185626E+01
    52   0.300544E+03   0.453169E-01   0.455854E-01  -0.190975E+01
    53   0.296332E+03   0.466622E-01   0.466188E-01  -0.196181E+01
    54   0.292072E+03   0.480047E-01   0.476332E-01  -0.201240E+01
    55   0.287770E+03   0.493428E-01   0.486276E-01  -0.206147E+01
    56   0.283428E+03   0.506752E-01   0.496012E-01  -0.210897E+01
    57   0.279049E+03   0.520012E-01   0.505529E-01  -0.215481E+01
    58   0.274636E+03   0.533202E-01   0.514817E-01  -0.219893E+01
    59   0.270190E+03   0.546318E-01   0.523865E-01  -0.224123E+01
    60   0.265715E+03   0.559355E-01   0.532661E-01  -0.228163E+01
    61   0.261214E+03   0.572307E-01   0.541196E-01  -0.232008E+01
    62   0.256690E+03   0.585161E-01   0.549465E-01  -0.235657E+01
    63   0.252148E+03   0.597903E-01   0.557462E-01  -0.239114E+01
    64   0.247595E+03   0.610520E-01   0.565183E-01  -0.242380E+01
    65   0.243035E+03   0.622997E-01   0.572624E-01  -0.245459E+01
    66   0.238472E+03   0.635320E-01   0.579778E-01  -0.248351E+01
    67   0.233908E+03   0.647474E-01   0.586641E-01  -0.251048E+01
    68   0.229346E+03   0.659442E-01   0.593204E-01  -0.253540E+01
    69   0.224786E+03   0.671210E-01   0.599463E-01  -0.255816E+01
    70   0.220230E+03   0.682760E-01   0.605410E-01  -0.257868E+01
    71   0.215680E+03   0.694083E-01   0.611040E-01  -0.259690E+01
    72   0.211140E+03   0.705183E-01   0.616353E-01  -0.261290E+01
    73   0.206613E+03   0.716071E-01   0.621349E-01  -0.262685E+01
    74   0.202104E+03   0.726758E-01   0.626030E-01  -0.263887E+01
    75   0.197616E+03   0.737255E-01   0.630395E-01  -0.264911E+01
    76   0.193153E+03   0.747563E-01   0.634447E-01  -0.265767E+01
    77   0.188717E+03   0.757658E-01   0.638182E-01  -0.266447E+01
    78   0.184308E+03   0.767505E-01   0.641600E-01  -0.266938E+01
    79   0.179929E+03   0.777070E-01   0.644698E-01  -0.267228E+01
    80   0.175580E+03   0.786319E-01   0.647474E-01  -0.267303E+01
    81   0.171262E+03   0.795226E-01   0.649927E-01  -0.267155E+01
    82   0.166980E+03   0.803794E-01   0.652057E-01  -0.266793E+01
    83   0.162735E+03   0.812035E-01   0.653865E-01  -0.266230E+01
    84   0.158530E+03   0.819960E-01   0.655353E-01  -0.265479E+01
    85   0.154368E+03   0.827580E-01   0.656520E-01  -0.264552E+01
    86   0.150253E+03   0.834902E-01   0.657368E-01  -0.263461E+01
    87   0.146186E+03   0.841918E-01   0.657899E-01  -0.262208E+01
    88   0.142167E+03   0.848615E-01   0.658115E-01  -0.260794E+01
    89   0.138200E+03   0.854980E-01   0.658018E-01  -0.259220E+01
    90   0.134284E+03   0.861001E-01   0.657611E-01  -0.257485E+01
    91   0.130422E+03   0.866668E-01   0.656896E-01  -0.255593E+01
    92   0.126614E+03   0.871978E-01   0.655879E-01  -0.253547E+01
    93   0.122862E+03   0.876933E-01   0.654565E-01  -0.251352E+01
    94   0.119165E+03   0.881533E-01   0.652962E-01  -0.249015E+01
    95   0.115524E+03   0.885779E-01   0.651076E-01  -0.246539E+01
    96   0.111941E+03   0.889672E-01   0.648912E-01  -0.243932E+01
    97   0.108416E+03   0.893212E-01   0.646478E-01  -0.241197E+01
    98   0.104949E+03   0.896401E-01   0.643779E-01  -0.238340E+01
    99   0.101542E+03   0.899239E-01   0.640822E-01  -0.235367E+01
   100   0.981944E+02   0.901727E-01   0.637613E-01  -0.232283E+01
   101   0.949080E+02   0.903866E-01   0.634158E-01  -0.229093E+01
   102   0.916832E+02   0.905656E-01   0.630463E-01  -0.225803E+01
   103   0.885206E+02   0.907098E-01   0.626536E-01  -0.222417E+01
   104   0.854210E+02   0.908193E-01   0.622381E-01  -0.218942E+01
   105   0.823851E+02   0.908942E-01   0.618006E-01  -0.215382E+01
   106   0.794136E+02   0.909345E-01   0.613417E-01  -0.211744E+01
   107   0.765073E+02   0.909403E-01   0.608619E-01  -0.208031E+01
   108   0.736668E+02   0.909117E-01   0.603620E-01  -0.204250E+01
   109   0.708930E+02   0.908488E-01   0.598426E-01  -0.200406E+01
   110   0.681864E+02   0.907516E-01   0.593042E-01  -0.196504E+01
   111   0.655477E+02   0.906204E-01   0.587475E-01  -0.192549E+01
   112   0.629764E+02   0.904553E-01   0.581734E-01  -0.188546E+01
   113   0.604721E+02   0.902569E-01   0.575826E-01  -0.184499E+01
   114   0.580340E+02   0.900255E-01   0.569759E-01  -0.180412E+01
   115   0.556618E+02   0.897616E-01   0.563542E-01  -0.176290E+01
   116   0.533547E+02   0.894656E-01   0.557183E-01  -0.172136E+01
   117   0.511123E+02   0.891378E-01   0.550689E-01  -0.167956E+01
   118   0.489339E+02   0.887788E-01   0.544069E-01  -0.163752E+01
   119   0.468190E+02   0.883888E-01   0.537331E-01  -0.159530E+01
   120   0.447671E+02   0.879684E-01   0.530483E-01  -0.155293E+01
   121   0.427775E+02   0.875178E-01   0.523533E-01  -0.151047E+01
   122   0.408497E+02   0.870376E-01   0.516490E-01  -0.146794E+01
   123   0.389831E+02   0.865282E-01   0.509360E-01  -0.142540E+01
