#    L    TT             EE             BB             TE          
     2   0.124064E+05   0.371717E-01   0.149252E-01  -0.147621E+02
     3   0.118585E+05   0.467184E-01   0.146937E-01  -0.153272E+02
     4   0.116548E+05   0.408412E-01   0.123565E-01  -0.137976E+02
     5   0.115622E+05   0.280742E-01   0.933592E-02  -0.116000E+02
     6   0.115126E+05   0.166955E-01   0.660927E-02  -0.941899E+01
     7   0.114878E+05   0.100425E-01   0.463357E-02  -0.756827E+01
     8   0.114769E+05   0.742618E-02   0.347971E-02  -0.614348E+01
     9   0.114716E+05   0.685699E-02   0.301624E-02  -0.512900E+01
    10   0.114674E+05   0.691699E-02   0.305278E-02  -0.448370E+01
    11   0.114734E+05   0.715218E-02   0.340454E-02  -0.415115E+01
    12   0.114915E+05   0.763134E-02   0.394161E-02  -0.408010E+01
    13   0.114931E+05   0.836033E-02   0.458186E-02  -0.419822E+01
    14   0.114859E+05   0.931481E-02   0.528257E-02  -0.446917E+01
    15   0.114905E+05   0.104066E-01   0.602583E-02  -0.486743E+01
    16   0.115140E+05   0.116074E-01   0.680457E-02  -0.536922E+01
    17   0.115496E+05   0.129587E-01   0.761583E-02  -0.595464E+01
    18   0.115880E+05   0.145037E-01   0.845746E-02  -0.660274E+01
    19   0.116257E+05   0.162454E-01   0.932808E-02  -0.729131E+01
    20   0.116587E+05   0.181611E-01   0.102266E-01  -0.801089E+01
    21   0.116900E+05   0.202462E-01   0.111522E-01  -0.875748E+01
    22   0.117222E+05   0.225130E-01   0.121041E-01  -0.953260E+01
    23   0.117552E+05   0.249522E-01   0.130805E-01  -0.103310E+02
    24   0.117890E+05   0.275580E-01   0.140795E-01  -0.111486E+02
    25   0.118236E+05   0.303305E-01   0.150994E-01  -0.119978E+02
    26   0.118582E+05   0.332769E-01   0.161386E-01  -0.128796E+02
    27   0.118928E+05   0.364025E-01   0.171971E-01  -0.137848E+02
    28   0.119269E+05   0.396992E-01   0.182747E-01  -0.147098E+02
    29   0.119614E+05   0.432073E-01   0.193703E-01  -0.156527E+02
    30   0.119971E+05   0.469686E-01   0.204825E-01  -0.166251E+02
    31   0.120332E+05   0.509743E-01   0.216097E-01  -0.176172E+02
    32   0.120699E+05   0.552303E-01   0.227502E-01  -0.186325E+02
    33   0.121066E+05   0.596839E-01   0.239019E-01  -0.196641E+02
    34   0.121431E+05   0.643512E-01   0.250622E-01  -0.207043E+02
    35   0.121799E+05   0.692443E-01   0.262272E-01  -0.217669E+02
    36   0.122159E+05   0.743992E-01   0.273938E-01  -0.228475E+02
    37   0.122516E+05   0.798416E-01   0.285642E-01  -0.239510E+02
    38   0.122870E+05   0.855574E-01   0.297404E-01  -0.250723E+02
    39   0.123220E+05   0.915324E-01   0.309196E-01  -0.262081E+02
    40   0.123565E+05   0.977546E-01   0.320978E-01  -0.273567E+02
    41   0.123904E+05   0.104217E+00   0.332716E-01  -0.285165E+02
    42   0.124239E+05   0.110931E+00   0.344396E-01  -0.296866E+02
    43   0.124568E+05   0.117915E+00   0.356010E-01  -0.308667E+02
    44   0.124893E+05   0.125182E+00   0.367549E-01  -0.320582E+02
    45   0.125213E+05   0.132745E+00   0.379007E-01  -0.332625E+02
    46   0.125530E+05   0.140610E+00   0.390374E-01  -0.344806E+02
    47   0.125841E+05   0.148776E+00   0.401635E-01  -0.357114E+02
    48   0.126147E+05   0.157233E+00   0.412776E-01  -0.369535E+02
    49   0.126446E+05   0.165971E+00   0.423782E-01  -0.382055E+02
    50   0.126738E+05   0.174989E+00   0.434638E-01  -0.394658E+02
    51   0.127023E+05   0.184291E+00   0.445329E-01  -0.407327E+02
    52   0.127301E+05   0.193878E+00   0.455846E-01  -0.420046E+02
    53   0.127571E+05   0.203751E+00   0.466180E-01  -0.432803E+02
    54   0.127833E+05   0.213910E+00   0.476324E-01  -0.445591E+02
    55   0.128086E+05   0.224359E+00   0.486268E-01  -0.458409E+02
    56   0.128332E+05   0.235091E+00   0.496004E-01  -0.471261E+02
    57   0.128572E+05   0.246103E+00   0.505521E-01  -0.484149E+02
    58   0.128804E+05   0.257394E+00   0.514809E-01  -0.497066E+02
    59   0.129029E+05   0.268963E+00   0.523856E-01  -0.510001E+02
    60   0.129245E+05   0.280800E+00   0.532653E-01  -0.522943E+02
    61   0.129452E+05   0.292899E+00   0.541188E-01  -0.535877E+02
    62   0.129651E+05   0.305255E+00   0.549457E-01  -0.548797E+02
