#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.102123E-04   0.181358E+08   0.181358E+08   0.241684E+08   0.241681E+08   0.181381E+08   0.181358E+08   0.181358E+08   0.181415E+08  -0.465704E+00   0.921343E+07   0.921343E+07   0.507327E+01
   0.112767E-04   0.181358E+08   0.181358E+08   0.241657E+08   0.241653E+08   0.181381E+08   0.181358E+08   0.181358E+08   0.181415E+08  -0.465704E+00   0.921343E+07   0.921343E+07   0.560184E+01
   0.124520E-04   0.181358E+08   0.181358E+08   0.241623E+08   0.241618E+08   0.181381E+08   0.181358E+08   0.181358E+08   0.181415E+08  -0.465703E+00   0.921342E+07   0.921342E+07   0.618544E+01
   0.137497E-04   0.181358E+08   0.181358E+08   0.241581E+08   0.241575E+08   0.181380E+08   0.181358E+08   0.181358E+08   0.181415E+08  -0.465703E+00   0.921342E+07   0.921342E+07   0.682978E+01
   0.151828E-04   0.181358E+08   0.181358E+08   0.241531E+08   0.241524E+08   0.181380E+08   0.181358E+08   0.181358E+08   0.181415E+08  -0.465703E+00   0.921342E+07   0.921342E+07   0.754116E+01
   0.167651E-04   0.181358E+08   0.181358E+08   0.241469E+08   0.241461E+08   0.181380E+08   0.181358E+08   0.181358E+08   0.181415E+08  -0.465703E+00   0.921341E+07   0.921341E+07   0.832654E+01
   0.185124E-04   0.181358E+08   0.181358E+08   0.241395E+08   0.241384E+08   0.181380E+08   0.181358E+08   0.181358E+08   0.181414E+08  -0.465702E+00   0.921340E+07   0.921340E+07   0.919358E+01
   0.204419E-04   0.181358E+08   0.181358E+08   0.241303E+08   0.241290E+08   0.181379E+08   0.181358E+08   0.181358E+08   0.181414E+08  -0.465702E+00   0.921340E+07   0.921340E+07   0.101507E+02
   0.225723E-04   0.181357E+08   0.181357E+08   0.241192E+08   0.241176E+08   0.181379E+08   0.181357E+08   0.181357E+08   0.181414E+08  -0.465701E+00   0.921338E+07   0.921338E+07   0.112072E+02
   0.249249E-04   0.181357E+08   0.181357E+08   0.241056E+08   0.241037E+08   0.181378E+08   0.181357E+08   0.181357E+08   0.181414E+08  -0.465700E+00   0.921337E+07   0.921337E+07   0.123734E+02
   0.275226E-04   0.181357E+08   0.181357E+08   0.240891E+08   0.240867E+08   0.181377E+08   0.181357E+08   0.181357E+08   0.181413E+08  -0.465699E+00   0.921336E+07   0.921336E+07   0.136604E+02
   0.303911E-04   0.181356E+08   0.181356E+08   0.240690E+08   0.240661E+08   0.181376E+08   0.181357E+08   0.181356E+08   0.181413E+08  -0.465698E+00   0.921334E+07   0.921334E+07   0.150807E+02
   0.335585E-04   0.181356E+08   0.181356E+08   0.240444E+08   0.240409E+08   0.181375E+08   0.181356E+08   0.181356E+08   0.181413E+08  -0.465697E+00   0.921332E+07   0.921331E+07   0.166478E+02
   0.370560E-04   0.181355E+08   0.181355E+08   0.240145E+08   0.240103E+08   0.181373E+08   0.181356E+08   0.181355E+08   0.181412E+08  -0.465695E+00   0.921329E+07   0.921329E+07   0.183767E+02
   0.409181E-04   0.181355E+08   0.181355E+08   0.239782E+08   0.239730E+08   0.181371E+08   0.181355E+08   0.181355E+08   0.181411E+08  -0.465693E+00   0.921325E+07   0.921325E+07   0.202836E+02
   0.451826E-04   0.181354E+08   0.181354E+08   0.239338E+08   0.239275E+08   0.181369E+08   0.181354E+08   0.181354E+08   0.181410E+08  -0.465690E+00   0.921321E+07   0.921321E+07   0.223863E+02
   0.498917E-04   0.181353E+08   0.181353E+08   0.238799E+08   0.238723E+08   0.181367E+08   0.181353E+08   0.181353E+08   0.181409E+08  -0.465687E+00   0.921316E+07   0.921316E+07   0.247044E+02
   0.550915E-04   0.181352E+08   0.181352E+08   0.238143E+08   0.238050E+08   0.181363E+08   0.181352E+08   0.181352E+08   0.181408E+08  -0.465683E+00   0.921310E+07   0.921310E+07   0.272587E+02
   0.608332E-04   0.181350E+08   0.181350E+08   0.237346E+08   0.237232E+08   0.181359E+08   0.181350E+08   0.181350E+08   0.181406E+08  -0.465679E+00   0.921302E+07   0.921302E+07   0.300723E+02
   0.671734E-04   0.181349E+08   0.181348E+08   0.236377E+08   0.236239E+08   0.181354E+08   0.181349E+08   0.181349E+08   0.181404E+08  -0.465673E+00   0.921293E+07   0.921293E+07   0.331698E+02
   0.741744E-04   0.181346E+08   0.181346E+08   0.235200E+08   0.235032E+08   0.181348E+08   0.181346E+08   0.181346E+08   0.181402E+08  -0.465666E+00   0.921282E+07   0.921281E+07   0.365773E+02
   0.819050E-04   0.181344E+08   0.181344E+08   0.233772E+08   0.233569E+08   0.181341E+08   0.181344E+08   0.181344E+08   0.181399E+08  -0.465658E+00   0.921269E+07   0.921268E+07   0.403231E+02
   0.904413E-04   0.181341E+08   0.181340E+08   0.232043E+08   0.231796E+08   0.181332E+08   0.181341E+08   0.181341E+08   0.181395E+08  -0.465647E+00   0.921252E+07   0.921251E+07   0.444364E+02
   0.998673E-04   0.181337E+08   0.181336E+08   0.229949E+08   0.229651E+08   0.181321E+08   0.181337E+08   0.181337E+08   0.181391E+08  -0.465635E+00   0.921232E+07   0.921230E+07   0.489479E+02
   0.110276E-03   0.181332E+08   0.181332E+08   0.227421E+08   0.227060E+08   0.181308E+08   0.181332E+08   0.181332E+08   0.181385E+08  -0.465620E+00   0.921207E+07   0.921206E+07   0.538887E+02
   0.121769E-03   0.181326E+08   0.181326E+08   0.224372E+08   0.223937E+08   0.181292E+08   0.181326E+08   0.181326E+08   0.181379E+08  -0.465602E+00   0.921178E+07   0.921175E+07   0.592899E+02
   0.134460E-03   0.181319E+08   0.181318E+08   0.220705E+08   0.220182E+08   0.181273E+08   0.181319E+08   0.181319E+08   0.181371E+08  -0.465579E+00   0.921141E+07   0.921138E+07   0.651810E+02
   0.148473E-03   0.181311E+08   0.181310E+08   0.216309E+08   0.215682E+08   0.181249E+08   0.181310E+08   0.181311E+08   0.181361E+08  -0.465552E+00   0.921097E+07   0.921094E+07   0.715890E+02
   0.163948E-03   0.181300E+08   0.181299E+08   0.211059E+08   0.210308E+08   0.181220E+08   0.181300E+08   0.181300E+08   0.181349E+08  -0.465519E+00   0.921043E+07   0.921039E+07   0.785357E+02
   0.181035E-03   0.181288E+08   0.181286E+08   0.204816E+08   0.203923E+08   0.181184E+08   0.181287E+08   0.181288E+08   0.181335E+08  -0.465479E+00   0.920977E+07   0.920973E+07   0.860353E+02
   0.199902E-03   0.181272E+08   0.181271E+08   0.197435E+08   0.196377E+08   0.181142E+08   0.181272E+08   0.181272E+08   0.181318E+08  -0.465431E+00   0.920898E+07   0.920892E+07   0.940906E+02
   0.220737E-03   0.181254E+08   0.181252E+08   0.188768E+08   0.187524E+08   0.181089E+08   0.181253E+08   0.181254E+08   0.181297E+08  -0.465372E+00   0.920801E+07   0.920794E+07   0.102688E+03
