#    L    TT             EE             BB             TE          
     2   0.155727E+05   0.113779E+01   0.466843E+00   0.127254E+03
     3   0.122819E+05   0.592362E+00   0.502245E+00   0.824401E+02
     4   0.112780E+05   0.321463E+00   0.397882E+00   0.579379E+02
     5   0.108175E+05   0.171582E+00   0.286434E+00   0.415897E+02
     6   0.105638E+05   0.957027E-01   0.213801E+00   0.303038E+02
     7   0.104103E+05   0.638431E-01   0.181820E+00   0.226044E+02
     8   0.103124E+05   0.559697E-01   0.177762E+00   0.174981E+02
     9   0.102469E+05   0.597582E-01   0.189392E+00   0.142493E+02
    10   0.102004E+05   0.685937E-01   0.209725E+00   0.122699E+02
    11   0.101712E+05   0.791910E-01   0.236165E+00   0.111163E+02
    12   0.101601E+05   0.903278E-01   0.267953E+00   0.106120E+02
    13   0.101423E+05   0.102542E+00   0.303909E+00   0.104521E+02
    14   0.101186E+05   0.115112E+00   0.343630E+00   0.105386E+02
    15   0.100936E+05   0.128810E+00   0.387113E+00   0.106543E+02
    16   0.100881E+05   0.142539E+00   0.434451E+00   0.108925E+02
    17   0.100999E+05   0.156690E+00   0.485322E+00   0.112351E+02
    18   0.101203E+05   0.171997E+00   0.539282E+00   0.116182E+02
    19   0.101412E+05   0.188298E+00   0.595855E+00   0.120188E+02
    20   0.101564E+05   0.205283E+00   0.654664E+00   0.124242E+02
    21   0.101674E+05   0.222946E+00   0.715759E+00   0.128230E+02
    22   0.101770E+05   0.241334E+00   0.779261E+00   0.132081E+02
    23   0.101863E+05   0.260380E+00   0.845132E+00   0.135882E+02
    24   0.101959E+05   0.279999E+00   0.913295E+00   0.139736E+02
    25   0.102058E+05   0.300148E+00   0.983669E+00   0.143654E+02
    26   0.102154E+05   0.320812E+00   0.105619E+01   0.147620E+02
    27   0.102244E+05   0.342065E+00   0.113086E+01   0.151599E+02
    28   0.102324E+05   0.363974E+00   0.120770E+01   0.155552E+02
    29   0.102397E+05   0.386499E+00   0.128665E+01   0.159430E+02
    30   0.102468E+05   0.409576E+00   0.136762E+01   0.163204E+02
    31   0.102537E+05   0.433147E+00   0.145058E+01   0.166934E+02
    32   0.102607E+05   0.457168E+00   0.153547E+01   0.170678E+02
    33   0.102675E+05   0.481637E+00   0.162235E+01   0.174429E+02
    34   0.102742E+05   0.506539E+00   0.171122E+01   0.178176E+02
    35   0.102807E+05   0.531776E+00   0.180206E+01   0.181975E+02
    36   0.102870E+05   0.557289E+00   0.189479E+01   0.185864E+02
    37   0.102925E+05   0.583273E+00   0.198933E+01   0.189738E+02
    38   0.102968E+05   0.609913E+00   0.208558E+01   0.193491E+02
    39   0.103001E+05   0.637104E+00   0.218352E+01   0.197162E+02
    40   0.103030E+05   0.664668E+00   0.228317E+01   0.200823E+02
    41   0.103057E+05   0.692464E+00   0.238450E+01   0.204530E+02
    42   0.103082E+05   0.720491E+00   0.248751E+01   0.208276E+02
    43   0.103105E+05   0.748784E+00   0.259216E+01   0.212038E+02
    44   0.103124E+05   0.777379E+00   0.269842E+01   0.215792E+02
    45   0.103139E+05   0.806311E+00   0.280627E+01   0.219515E+02
    46   0.103149E+05   0.835606E+00   0.291568E+01   0.223190E+02
    47   0.103154E+05   0.865249E+00   0.302658E+01   0.226821E+02
    48   0.103155E+05   0.895216E+00   0.313893E+01   0.230419E+02
    49   0.103151E+05   0.925482E+00   0.325268E+01   0.233993E+02
    50   0.103142E+05   0.956023E+00   0.336776E+01   0.237554E+02
    51   0.103130E+05   0.986820E+00   0.348413E+01   0.241109E+02
    52   0.103113E+05   0.101787E+01   0.360174E+01   0.244655E+02
    53   0.103093E+05   0.104919E+01   0.372056E+01   0.248185E+02
    54   0.103068E+05   0.108077E+01   0.384054E+01   0.251693E+02
    55   0.103040E+05   0.111262E+01   0.396165E+01   0.255174E+02
    56   0.103008E+05   0.114475E+01   0.408385E+01   0.258621E+02
    57   0.102973E+05   0.117714E+01   0.420718E+01   0.262034E+02
    58   0.102934E+05   0.120980E+01   0.433169E+01   0.265415E+02
    59   0.102892E+05   0.124270E+01   0.445743E+01   0.268764E+02
    60   0.102847E+05   0.127584E+01   0.458445E+01   0.272083E+02
    61   0.102798E+05   0.130921E+01   0.471278E+01   0.275371E+02
    62   0.102747E+05   0.134280E+01   0.484241E+01   0.278624E+02
    63   0.102693E+05   0.137660E+01   0.497333E+01   0.281837E+02
    64   0.102636E+05   0.141060E+01   0.510552E+01   0.285005E+02
    65   0.102576E+05   0.144479E+01   0.523896E+01   0.288123E+02
    66   0.102512E+05   0.147917E+01   0.537362E+01   0.291189E+02
    67   0.102446E+05   0.151372E+01   0.550947E+01   0.294209E+02
    68   0.102377E+05   0.154844E+01   0.564650E+01   0.297193E+02
    69   0.102304E+05   0.158332E+01   0.578466E+01   0.300151E+02
    70   0.102229E+05   0.161835E+01   0.592393E+01   0.303091E+02
    71   0.102152E+05   0.165352E+01   0.606428E+01   0.306022E+02
    72   0.102071E+05   0.168884E+01   0.620569E+01   0.308935E+02
    73   0.101988E+05   0.172430E+01   0.634813E+01   0.311822E+02
    74   0.101903E+05   0.175992E+01   0.649159E+01   0.314674E+02
    75   0.101815E+05   0.179569E+01   0.663603E+01   0.317481E+02
    76   0.101726E+05   0.183162E+01   0.678144E+01   0.320235E+02
    77   0.101634E+05   0.186770E+01   0.692778E+01   0.322939E+02
    78   0.101540E+05   0.190393E+01   0.707502E+01   0.325595E+02
    79   0.101444E+05   0.194030E+01   0.722312E+01   0.328206E+02
    80   0.101345E+05   0.197681E+01   0.737204E+01   0.330775E+02
    81   0.101243E+05   0.201344E+01   0.752176E+01   0.333305E+02
    82   0.101139E+05   0.205020E+01   0.767225E+01   0.335802E+02
    83   0.101033E+05   0.208704E+01   0.782352E+01   0.338269E+02
    84   0.100925E+05   0.212397E+01   0.797557E+01   0.340712E+02
    85   0.100815E+05   0.216096E+01   0.812837E+01   0.343135E+02
    86   0.100705E+05   0.219800E+01   0.828194E+01   0.345541E+02
    87   0.100593E+05   0.223509E+01   0.843625E+01   0.347930E+02
    88   0.100480E+05   0.227223E+01   0.859127E+01   0.350298E+02
    89   0.100365E+05   0.230943E+01   0.874699E+01   0.352642E+02
    90   0.100249E+05   0.234668E+01   0.890339E+01   0.354959E+02
    91   0.100132E+05   0.238399E+01   0.906044E+01   0.357246E+02
    92   0.100013E+05   0.242135E+01   0.921813E+01   0.359502E+02
    93   0.998933E+04   0.245877E+01   0.937644E+01   0.361730E+02
    94   0.997719E+04   0.249623E+01   0.953537E+01   0.363927E+02
    95   0.996493E+04   0.253374E+01   0.969490E+01   0.366095E+02
    96   0.995256E+04   0.257129E+01   0.985502E+01   0.368234E+02
    97   0.994007E+04   0.260888E+01   0.100157E+02   0.370344E+02
    98   0.992748E+04   0.264649E+01   0.101769E+02   0.372424E+02
    99   0.991479E+04   0.268414E+01   0.103387E+02   0.374476E+02
   100   0.990201E+04   0.272181E+01   0.105011E+02   0.376500E+02
   101   0.988914E+04   0.275950E+01   0.106639E+02   0.378495E+02
   102   0.987619E+04   0.279721E+01   0.108272E+02   0.380463E+02
   103   0.986317E+04   0.283494E+01   0.109911E+02   0.382402E+02
   104   0.985008E+04   0.287267E+01   0.111554E+02   0.384313E+02
   105   0.983693E+04   0.291041E+01   0.113202E+02   0.386197E+02
   106   0.982372E+04   0.294815E+01   0.114854E+02   0.388054E+02
   107   0.981046E+04   0.298589E+01   0.116510E+02   0.389883E+02
   108   0.979715E+04   0.302362E+01   0.118171E+02   0.391685E+02
   109   0.978381E+04   0.306134E+01   0.119836E+02   0.393461E+02
   110   0.977044E+04   0.309905E+01   0.121505E+02   0.395210E+02
   111   0.975704E+04   0.313674E+01   0.123178E+02   0.396932E+02
   112   0.974362E+04   0.317441E+01   0.124854E+02   0.398628E+02
   113   0.973017E+04   0.321207E+01   0.126534E+02   0.400299E+02
   114   0.971670E+04   0.324970E+01   0.128217E+02   0.401943E+02
   115   0.970321E+04   0.328732E+01   0.129904E+02   0.403562E+02
   116   0.968969E+04   0.332491E+01   0.131594E+02   0.405155E+02
   117   0.967616E+04   0.336249E+01   0.133287E+02   0.406723E+02
   118   0.966260E+04   0.340004E+01   0.134983E+02   0.408265E+02
   119   0.964902E+04   0.343757E+01   0.136682E+02   0.409783E+02
   120   0.963543E+04   0.347507E+01   0.138384E+02   0.411276E+02
   121   0.962181E+04   0.351255E+01   0.140088E+02   0.412745E+02
   122   0.960818E+04   0.355001E+01   0.141795E+02   0.414189E+02
   123   0.959453E+04   0.358744E+01   0.143504E+02   0.415609E+02
   124   0.958087E+04   0.362485E+01   0.145216E+02   0.417005E+02
   125   0.956719E+04   0.366223E+01   0.146929E+02   0.418377E+02
   126   0.955350E+04   0.369958E+01   0.148645E+02   0.419725E+02
   127   0.953979E+04   0.373691E+01   0.150362E+02   0.421050E+02
   128   0.952607E+04   0.377421E+01   0.152082E+02   0.422352E+02
   129   0.951234E+04   0.381147E+01   0.153803E+02   0.423631E+02
   130   0.949860E+04   0.384871E+01   0.155525E+02   0.424887E+02
   131   0.948484E+04   0.388592E+01   0.157249E+02   0.426120E+02
   132   0.947108E+04   0.392310E+01   0.158975E+02   0.427332E+02
   133   0.945732E+04   0.396024E+01   0.160702E+02   0.428521E+02
   134   0.944355E+04   0.399734E+01   0.162430E+02   0.429690E+02
   135   0.942978E+04   0.403440E+01   0.164159E+02   0.430839E+02
   136   0.941602E+04   0.407141E+01   0.165889E+02   0.431968E+02
   137   0.940226E+04   0.410838E+01   0.167620E+02   0.433078E+02
   138   0.938851E+04   0.414531E+01   0.169352E+02   0.434169E+02
   139   0.937477E+04   0.418218E+01   0.171086E+02   0.435242E+02
   140   0.936105E+04   0.421899E+01   0.172820E+02   0.436299E+02
   141   0.934734E+04   0.425575E+01   0.174555E+02   0.437338E+02
   142   0.933366E+04   0.429245E+01   0.176290E+02   0.438361E+02
   143   0.931999E+04   0.432909E+01   0.178027E+02   0.439369E+02
   144   0.930636E+04   0.436566E+01   0.179764E+02   0.440362E+02
   145   0.929275E+04   0.440216E+01   0.181501E+02   0.441340E+02
   146   0.927917E+04   0.443859E+01   0.183239E+02   0.442305E+02
   147   0.926563E+04   0.447495E+01   0.184978E+02   0.443257E+02
   148   0.925212E+04   0.451124E+01   0.186716E+02   0.444196E+02
   149   0.923865E+04   0.454744E+01   0.188456E+02   0.445123E+02
   150   0.922523E+04   0.458357E+01   0.190195E+02   0.446039E+02
   151   0.921185E+04   0.461961E+01   0.191934E+02   0.446944E+02
   152   0.919852E+04   0.465557E+01   0.193674E+02   0.447838E+02
   153   0.918523E+04   0.469144E+01   0.195414E+02   0.448722E+02
   154   0.917198E+04   0.472724E+01   0.197154E+02   0.449595E+02
   155   0.915878E+04   0.476295E+01   0.198893E+02   0.450458E+02
   156   0.914563E+04   0.479858E+01   0.200633E+02   0.451311E+02
   157   0.913252E+04   0.483413E+01   0.202373E+02   0.452154E+02
   158   0.911946E+04   0.486960E+01   0.204112E+02   0.452987E+02
   159   0.910644E+04   0.490499E+01   0.205852E+02   0.453810E+02
   160   0.909346E+04   0.494030E+01   0.207591E+02   0.454623E+02
   161   0.908053E+04   0.497554E+01   0.209330E+02   0.455426E+02
   162   0.906764E+04   0.501070E+01   0.211068E+02   0.456220E+02
   163   0.905480E+04   0.504578E+01   0.212806E+02   0.457004E+02
   164   0.904200E+04   0.508078E+01   0.214544E+02   0.457779E+02
   165   0.902924E+04   0.511571E+01   0.216282E+02   0.458545E+02
   166   0.901653E+04   0.515056E+01   0.218018E+02   0.459302E+02
   167   0.900386E+04   0.518534E+01   0.219755E+02   0.460049E+02
   168   0.899124E+04   0.522005E+01   0.221490E+02   0.460788E+02
   169   0.897866E+04   0.525468E+01   0.223225E+02   0.461518E+02
   170   0.896612E+04   0.528924E+01   0.224960E+02   0.462239E+02
   171   0.895363E+04   0.532373E+01   0.226693E+02   0.462951E+02
   172   0.894118E+04   0.535815E+01   0.228426E+02   0.463655E+02
   173   0.892877E+04   0.539249E+01   0.230158E+02   0.464351E+02
   174   0.891641E+04   0.542677E+01   0.231889E+02   0.465038E+02
   175   0.890409E+04   0.546097E+01   0.233620E+02   0.465718E+02
   176   0.889181E+04   0.549511E+01   0.235349E+02   0.466389E+02
   177   0.887957E+04   0.552917E+01   0.237078E+02   0.467052E+02
   178   0.886738E+04   0.556317E+01   0.238805E+02   0.467707E+02
   179   0.885523E+04   0.559710E+01   0.240531E+02   0.468355E+02
   180   0.884313E+04   0.563095E+01   0.242257E+02   0.468996E+02
   181   0.883106E+04   0.566474E+01   0.243981E+02   0.469629E+02
   182   0.881904E+04   0.569845E+01   0.245704E+02   0.470256E+02
   183   0.880707E+04   0.573209E+01   0.247427E+02   0.470875E+02
   184   0.879513E+04   0.576566E+01   0.249148E+02   0.471488E+02
   185   0.878324E+04   0.579915E+01   0.250868E+02   0.472094E+02
   186   0.877139E+04   0.583258E+01   0.252587E+02   0.472695E+02
   187   0.875959E+04   0.586592E+01   0.254304E+02   0.473289E+02
   188   0.874782E+04   0.589920E+01   0.256021E+02   0.473877E+02
   189   0.873610E+04   0.593240E+01   0.257736E+02   0.474459E+02
   190   0.872443E+04   0.596553E+01   0.259450E+02   0.475035E+02
   191   0.871280E+04   0.599858E+01   0.261163E+02   0.475607E+02
   192   0.870121E+04   0.603155E+01   0.262875E+02   0.476172E+02
   193   0.868966E+04   0.606445E+01   0.264586E+02   0.476733E+02
